Season,Episode,Title,duration
1,1,"Winter Is Coming",62
1,2,"The Kingsroad",56
1,3,"Lord Snow",58
1,4,"Cripples, Bastards, and Broken Things",56
1,5,"The Wolf and the Lion",55
1,6,"A Golden Crown",53
1,7,"You Win or You Die",58
1,8,"The Pointy End",59
1,9,Baelor,57
1,10,"Fire and Blood",53
2,1,"The North Remembers",53
2,2,"The Night Lands",54
2,3,"What Is Dead May Never Die",53
2,4,"Garden of Bones",51
2,5,"The Ghost of Harrenhal",55
2,6,"The Old Gods and the New",54
2,7,"A Man Without Honor",56
2,8,"The Prince of Winterfell",54
2,9,Blackwater,55
2,10,"Valar Morghulis",64
3,1,"Valar Dohaeris",55
3,2,"Dark Wings, Dark Words",56
3,3,"Walk of Punishment",56
3,4,"And Now His Watch Is Ended",53
3,5,"Kissed by Fire",57
3,6,"The Climb",53
3,7,"The Bear and the Maiden Fair",58
3,8,"Second Sons",56
3,9,"The Rains of Castamere",51
3,10,Mhysa,63
4,1,"Two Swords",58
4,2,"The Lion and the Rose",52
4,3,"Breaker of Chains",57
4,4,Oathkeeper,55
4,5,"First of His Name",53
4,6,"The Laws of Gods and Men",51
4,7,Mockingbird,51
4,8,"The Mountain and the Viper",52
4,9,"The Watchers on the Wall",51
4,10,"The Children",65
5,1,"The Wars to Come",53
5,2,"The House of Black and White",56
5,3,"High Sparrow",60
5,4,"Sons of the Harpy",51
5,5,"Kill the Boy",57
5,6,"Unbowed, Unbent, Unbroken",54
5,7,"The Gift",59
5,8,Hardhome,61
5,9,"The Dance of Dragons",52
5,10,"Mother's Mercy",60
6,1,"The Red Woman",50
6,2,Home,54
6,3,Oathbreaker,52
6,4,"Book of the Stranger",59
6,5,"The Door",57
6,6,"Blood of My Blood",52
6,7,"The Broken Man",51
6,8,"No One",59
6,9,"Battle of the Bastards",60
6,10,"The Winds of Winter",68
7,1,Dragonstone,59
7,2,Stormborn,59
7,3,"The Queen's Justice",63
7,4,"The Spoils of War",50
7,5,Eastwatch,59
7,6,"Beyond the Wall",70
7,7,"The Dragon and the Wolf",80
8,1,Winterfell,54
8,2,"A Knight of the Seven Kingdoms",58
8,3,"The Long Night",82
8,4,"The Last of the Starks",78
8,5,"The Bells",78
8,6,"The Iron Throne",80
